Country,Year,Region,GDP_per_capita,Education_Expenditure,Primary_Enrollment,Secondary_Enrollment,Tertiary_Enrollment,Literacy_Rate,Avg_Years_Schooling,Internet_Access,Pupil_Teacher_Ratio,Gender_Parity_Index,Unemployment_Rate,Government_Policy_Score,GDP_per_capita_log,Cluster
Kenya,2020,Africa,-1709.11,5.21,88.2,72.6,41.1,86.3,8.0,74.7,21.3,0.8,8.4,5.2,,0
Canada,2016,North America,10800.28,3.26,90.0,77.1,43.2,86.5,11.4,71.6,10.0,0.91,10.6,3.5,9.287327338702166,0
Russia,2024,Europe,-6880.22,7.25,96.5,68.2,22.3,91.3,10.5,66.5,19.1,0.87,6.9,8.1,,0
France,2016,Europe,10664.39,5.4,93.0,83.0,20.3,85.1,10.4,46.5,21.8,1.0,6.9,4.6,9.274665432832728,0
France,2019,Europe,22978.74,3.08,96.4,66.5,34.0,91.4,8.9,10.0,13.3,0.8,7.2,6.0,10.042324719612305,2
Brazil,2018,South America,12195.01,3.56,96.1,60.5,49.3,85.8,7.6,51.6,19.3,0.86,9.0,7.9,9.408782130657885,0
France,2016,Europe,15939.31,5.91,100.0,56.2,35.8,71.6,12.6,64.9,16.5,0.97,11.0,6.9,9.676543664079805,1
United States,2018,North America,19631.36,6.73,99.8,86.2,33.1,62.5,9.7,46.7,23.9,0.82,9.5,6.4,9.884883566582305,1
Brazil,2021,South America,17830.38,5.43,94.9,71.7,52.0,90.9,10.9,58.3,20.5,1.0,1.8,3.2,9.78865902302492,2
France,2019,Europe,14014.53,2.0,94.4,66.1,33.9,86.7,5.8,66.5,17.8,0.8,5.6,6.8,9.54784992753888,2
China,2016,East Asia,11754.55,3.8,95.8,70.2,31.0,71.7,8.5,97.7,20.9,1.03,5.1,5.2,9.371995678659106,1
Kenya,2022,Africa,2172.12,5.81,100.0,70.5,34.6,82.6,11.0,69.4,19.6,1.1,8.6,4.5,7.683458928146462,0
Australia,2019,Oceania,15065.7,4.24,90.1,72.7,52.1,95.9,11.3,75.6,21.0,0.94,8.7,2.7,9.620175915801882,0
Saudi Arabia,2017,Middle East,9624.94,6.16,92.5,81.4,29.6,90.5,6.4,85.4,14.4,0.86,10.7,6.0,9.172112925370321,0
South Korea,2016,East Asia,12550.02,6.85,98.7,70.5,33.0,95.7,7.6,88.9,17.8,0.91,10.3,7.5,9.437477538184158,0
South Korea,2023,East Asia,787.25,4.34,89.5,83.0,60.8,90.4,8.0,77.8,19.7,0.99,5.5,6.2,6.668545859981134,0
South Africa,2022,Africa,3432.2,2.0,95.1,73.6,40.2,64.9,10.5,60.6,22.5,0.84,3.3,2.3,8.140956733968203,1
Mexico,2021,North America,16170.54,3.98,94.3,61.1,16.9,60.0,6.8,47.0,17.0,0.99,9.3,4.6,9.690946347189799,1
Indonesia,2019,Southeast Asia,18910.31,5.67,100.0,79.9,36.1,74.2,10.0,52.5,26.9,1.01,6.5,8.8,9.847462554960755,1
Argentina,2024,South America,11141.0,4.5,100.0,77.7,51.9,100.0,8.4,78.2,18.3,1.2,11.3,7.5,9.318387276059317,0
Australia,2016,Oceania,23356.78,3.46,100.0,66.0,41.1,77.9,11.2,94.9,22.3,1.03,6.7,6.2,10.058642584975264,1
Australia,2020,Oceania,12314.09,6.95,99.0,71.5,35.9,100.0,10.0,89.1,17.1,1.05,5.1,4.9,9.41849941419871,2
Saudi Arabia,2017,Middle East,21349.94,3.16,89.0,81.9,27.7,82.2,5.9,34.6,21.1,0.98,9.7,4.2,9.968804208348372,1
Australia,2021,Oceania,13671.51,4.57,94.0,81.0,18.7,90.1,11.8,43.5,22.0,1.04,8.8,6.0,9.523069384480847,0
Germany,2015,Europe,26346.34,7.67,98.1,78.1,35.2,71.9,6.6,36.9,21.3,0.98,11.6,1.0,10.179084644891349,1
Turkey,2020,Europe,15325.82,5.15,99.5,76.4,40.5,86.8,10.4,59.6,30.6,1.06,7.6,4.5,9.63729426671389,2
Mexico,2018,North America,12261.66,6.77,82.6,75.6,34.6,90.0,10.0,90.3,20.5,0.99,9.9,9.1,9.414232599998229,0
China,2022,East Asia,20494.78,6.02,93.9,76.3,57.3,90.3,9.0,60.7,25.2,1.11,4.5,6.7,9.92792549855538,2
Turkey,2023,Europe,14937.26,4.4,100.0,72.6,26.4,76.9,9.2,45.3,15.7,0.91,4.5,4.5,9.611614041599186,1
Germany,2019,Europe,18192.42,2.0,91.5,74.0,52.2,82.5,9.2,58.2,10.9,1.07,8.9,7.6,9.808760302795054,1
Mexico,2021,North America,35046.78,2.55,87.6,82.1,29.9,75.1,8.9,47.6,28.6,1.2,2.1,3.0,10.464439019483628,2
Germany,2022,Europe,8925.06,3.47,91.1,73.1,28.3,71.5,7.4,90.9,18.2,0.96,2.4,5.1,9.096618329314317,1
Kenya,2017,Africa,11687.22,5.39,99.1,63.0,16.7,96.3,11.2,54.8,24.3,0.88,3.3,2.8,9.366251216090712,2
China,2019,East Asia,17891.76,4.83,92.4,67.2,71.2,82.4,12.3,57.1,17.5,1.14,9.4,6.0,9.792095550646541,1
Egypt,2023,Africa,13069.71,8.0,91.3,79.7,28.9,75.7,7.6,91.8,10.9,1.05,4.5,9.5,9.478052618154814,1
Australia,2019,Oceania,12815.39,3.95,100.0,83.8,43.3,93.1,7.3,74.8,19.0,1.04,8.5,3.8,9.458402071421322,0
Argentina,2015,South America,19750.58,4.22,88.8,73.5,35.3,90.9,4.7,67.8,17.4,1.08,7.0,5.3,9.890938136986671,2
Russia,2016,Europe,13580.0,5.0,99.5,66.1,29.8,99.7,8.8,67.3,13.8,0.83,3.9,4.6,9.516353401112687,2
Canada,2023,North America,23319.29,6.22,85.4,69.6,45.5,83.9,12.5,73.5,18.7,0.98,6.8,4.3,10.057036194031815,2
India,2023,South Asia,22513.71,5.61,97.3,77.4,19.7,90.0,9.8,100.0,13.5,0.93,2.2,5.6,10.021879735957667,2
Australia,2021,Oceania,1072.81,6.28,100.0,73.4,19.8,69.8,8.1,72.5,16.1,1.19,11.5,6.0,6.9780366533259635,1
India,2022,South Asia,11305.05,3.65,100.0,68.4,49.0,85.2,10.9,43.6,18.3,1.0,5.1,8.5,9.33300480752405,2
Argentina,2019,South America,8885.53,3.63,100.0,86.6,58.8,65.9,9.9,61.8,17.2,1.03,6.0,6.3,9.09217938990705,1
South Korea,2019,East Asia,42215.0,4.98,96.8,83.2,37.7,74.0,6.2,59.4,18.7,0.8,11.9,6.2,10.650530887103601,1
Argentina,2016,South America,26515.49,2.0,100.0,70.1,53.9,87.1,10.4,69.1,17.9,0.94,5.9,3.1,10.185484369506076,2
Turkey,2015,Europe,11154.32,3.45,87.5,79.6,35.1,87.5,10.9,55.2,15.3,1.03,1.0,5.8,9.319582145797428,2
India,2022,South Asia,21121.35,6.07,92.4,52.6,5.0,91.4,8.8,100.0,12.9,1.03,12.0,6.4,9.958039656231918,1
Brazil,2017,South America,2264.52,8.0,100.0,72.7,47.3,93.3,10.8,32.4,21.6,1.15,8.5,6.8,7.725118094929004,0
France,2015,Europe,10705.41,3.14,87.1,82.6,31.7,71.6,11.5,48.3,15.7,0.95,6.4,6.9,9.278504500150241,1
Germany,2021,Europe,7997.49,6.02,97.4,69.9,32.6,80.8,9.6,90.4,17.8,1.02,4.9,7.1,8.986883021432144,0
Kenya,2020,Africa,6211.25,6.49,90.9,81.9,54.0,80.6,9.2,63.8,18.8,1.02,9.0,5.8,8.73411744291653,0
Argentina,2022,South America,14025.61,4.9,93.0,71.5,21.5,84.6,10.4,54.6,16.1,0.99,8.2,6.3,9.548640223206212,1
Mexico,2024,North America,32836.4,3.52,94.2,82.8,24.6,100.0,9.5,71.2,20.1,1.1,3.8,9.1,10.399292935145695,2
Nigeria,2020,Africa,5853.75,5.49,91.3,78.4,20.5,96.8,6.9,63.1,18.1,0.84,4.2,6.9,8.674837760497752,0
Brazil,2018,South America,7827.54,3.5,96.9,84.1,44.9,84.5,9.9,62.4,14.8,1.03,3.9,7.2,8.965403563375942,2
Brazil,2016,South America,16081.09,2.0,99.9,69.8,25.9,94.6,9.2,71.9,16.7,1.08,7.6,6.8,9.685399326505237,2
Saudi Arabia,2019,Middle East,13571.81,6.94,100.0,53.0,48.9,74.2,10.5,24.4,22.0,0.92,5.6,5.1,9.515750126395577,1
India,2021,South Asia,9123.59,3.44,93.0,73.5,39.8,100.0,7.6,62.5,23.9,0.93,1.0,2.2,9.118618645963217,2
Russia,2015,Europe,-2763.92,6.81,98.1,82.6,49.7,79.2,14.1,66.7,19.6,1.11,9.0,8.7,,0
United States,2021,North America,26150.67,3.97,95.9,65.9,10.6,93.4,11.4,20.4,16.4,1.01,7.5,10.0,10.17163009057976,2
India,2015,South Asia,9984.5,4.24,98.2,71.5,27.4,79.1,10.0,56.5,23.4,1.04,1.0,2.5,9.208789169483445,2
Brazil,2022,South America,10993.9,5.97,91.7,78.7,44.0,90.4,8.4,37.0,13.4,1.2,8.4,9.7,9.305095852508764,0
Mexico,2021,North America,8335.12,6.37,92.6,74.7,30.7,76.2,7.8,59.2,17.1,1.01,4.5,7.4,9.028233192201833,1
Saudi Arabia,2022,Middle East,11320.29,6.96,94.7,74.0,59.1,80.0,8.7,46.0,21.0,0.93,9.3,5.9,9.334351969803587,1
Kenya,2024,Africa,10711.12,5.59,92.4,67.6,30.1,85.1,10.2,68.9,19.8,0.93,5.2,7.0,9.279037733137592,2
Saudi Arabia,2020,Middle East,9798.53,5.34,98.0,90.3,27.8,81.7,4.9,41.1,15.2,1.05,12.4,7.2,9.189987653407538,1
France,2019,Europe,22926.34,3.43,89.0,72.6,25.6,76.4,9.9,36.3,24.1,0.96,6.9,6.2,10.040041746888637,1
Germany,2017,Europe,11266.28,6.4,87.0,87.8,29.8,94.2,9.9,77.0,19.4,1.02,10.3,6.2,9.329569472687444,0
China,2015,East Asia,25640.63,5.03,91.3,71.5,48.3,72.6,11.1,52.7,13.6,1.02,4.9,4.9,10.151933481715584,1
South Africa,2016,Africa,-1005.89,4.67,93.1,78.9,50.2,90.4,13.1,100.0,18.5,0.88,6.1,6.2,,0
United States,2018,North America,32806.17,3.94,96.4,68.2,29.8,72.9,6.6,87.2,25.3,0.96,10.2,3.4,10.39837188643791,1
United States,2018,North America,13613.09,4.76,100.0,77.0,43.2,80.3,10.0,85.3,11.9,1.11,6.4,3.2,9.518787108818026,1
Indonesia,2017,Southeast Asia,12862.95,6.44,92.6,78.0,10.8,66.7,7.3,80.3,19.7,1.11,10.5,4.5,9.46210636495307,1
Egypt,2021,Africa,16536.01,3.68,100.0,84.6,36.0,85.7,10.1,62.3,18.0,0.95,5.9,8.4,9.713295706102592,2
Russia,2018,Europe,2293.28,3.75,93.4,72.7,39.5,71.5,11.6,77.7,23.4,0.98,4.8,5.3,7.737738386174906,1
Germany,2019,Europe,15486.92,5.5,94.6,78.6,28.5,87.9,9.0,65.4,11.2,1.05,8.6,7.1,9.647751075680052,2
Mexico,2017,North America,7100.46,3.43,90.7,78.3,44.9,78.0,12.1,86.0,20.7,1.04,2.0,4.9,8.867914849663102,2
Indonesia,2021,Southeast Asia,4981.12,3.14,97.6,82.6,47.0,87.4,10.5,28.2,13.6,0.98,8.8,5.1,8.51341004433097,0
United States,2016,North America,4113.73,3.46,90.3,57.8,68.4,97.3,5.5,21.6,16.0,0.85,14.1,4.4,8.322085438501581,0
Brazil,2017,South America,17892.32,3.74,89.2,85.5,44.8,84.4,14.3,64.7,17.7,1.19,8.2,9.3,9.792126849481111,1
Mexico,2022,North America,14687.29,2.0,87.2,85.8,26.2,87.5,11.8,63.6,15.7,1.0,7.3,5.2,9.594737772911959,2
Indonesia,2015,Southeast Asia,3920.17,3.97,94.5,60.6,21.2,77.8,5.8,62.6,21.2,0.95,2.9,6.8,8.27389029919111,0
Mexico,2024,North America,19368.64,4.65,95.2,80.9,33.6,75.8,9.4,52.2,19.6,1.09,3.4,6.4,9.87141054226856,2
Egypt,2018,Africa,-6020.68,3.12,100.0,79.6,37.4,68.4,9.0,18.5,20.2,0.88,8.7,6.3,,1
Kenya,2024,Africa,-5728.74,5.07,100.0,73.0,48.2,64.0,10.4,48.6,18.7,1.06,6.3,2.8,,1
France,2015,Europe,27217.76,2.32,90.8,76.3,37.1,89.3,9.8,83.0,22.5,0.88,1.0,6.3,10.211624980387214,2
Japan,2015,East Asia,26729.14,2.62,89.8,78.5,42.2,96.2,12.8,64.7,15.4,0.91,5.4,8.1,10.193509635027654,2
India,2021,South Asia,10999.33,5.94,87.4,77.9,23.7,90.2,9.0,76.0,17.8,1.0,9.4,5.8,9.305589640834565,0
Australia,2022,Oceania,15466.48,5.64,94.6,59.2,26.4,65.8,9.0,69.4,20.6,1.14,10.8,6.5,9.646430380507889,1
Argentina,2024,South America,-4137.45,5.51,91.1,83.8,39.7,91.6,10.5,100.0,22.6,0.87,10.2,5.1,,0
Russia,2019,Europe,25761.54,6.81,98.1,62.2,28.1,98.4,13.5,61.2,18.6,0.88,3.5,6.5,10.156637961040076,2
Canada,2022,North America,20605.99,2.27,99.1,88.7,44.5,100.0,10.2,67.3,21.7,1.14,8.6,4.9,9.93333708920935,2
France,2022,Europe,18387.45,5.15,93.9,85.2,36.4,92.1,10.5,45.5,15.1,0.93,6.8,9.2,9.819423645667383,2
Turkey,2024,Europe,14620.71,5.06,99.4,71.4,28.8,95.5,10.6,48.7,17.9,1.01,8.0,8.5,9.590194295736087,2
Saudi Arabia,2022,Middle East,19255.96,3.02,91.1,78.1,37.1,76.6,11.6,15.0,21.7,0.85,9.6,5.5,9.865575902186135,1
Egypt,2015,Africa,9981.81,3.91,100.0,56.3,48.2,78.9,10.3,68.3,13.0,1.1,8.2,6.2,9.20851971558673,1
Turkey,2015,Europe,18081.43,4.69,99.2,70.3,47.5,90.7,9.2,96.9,22.3,1.02,8.7,5.8,9.802640723738842,2
Australia,2024,Oceania,24608.8,4.47,99.1,64.3,8.1,89.0,8.7,56.1,10.0,1.17,7.3,8.7,10.110859381529865,2
Japan,2023,East Asia,3859.37,4.65,97.0,76.3,38.5,71.1,10.1,43.1,16.9,1.0,5.9,5.4,8.258259236703044,1
Germany,2019,Europe,23991.81,4.27,93.0,73.8,18.3,86.6,10.9,66.3,20.2,1.06,5.3,6.1,10.085467801091053,2
Australia,2022,Oceania,26186.46,4.06,98.0,81.3,23.6,91.9,8.3,68.6,16.9,1.03,7.4,6.2,10.172997762272068,2
India,2022,South Asia,17175.69,3.7,89.2,75.8,51.5,90.8,10.4,49.8,20.9,0.92,5.7,6.7,9.751250290956058,2
Saudi Arabia,2020,Middle East,466.69,7.09,88.3,93.9,22.4,76.5,8.7,51.2,17.0,0.96,7.3,4.2,6.145665225685282,0
Mexico,2021,North America,21725.71,6.62,85.3,93.6,46.6,87.6,8.4,63.3,24.5,1.2,13.6,2.9,9.98625163084238,1
United States,2017,North America,13337.43,4.62,100.0,74.2,23.7,85.5,8.7,79.7,31.9,1.09,9.9,8.5,9.498329647236348,1
Kenya,2018,Africa,7636.33,3.9,93.5,86.0,39.3,75.2,12.1,44.5,14.4,0.91,7.9,7.9,8.940672400255474,1
Indonesia,2020,Southeast Asia,17037.6,3.66,91.0,82.7,33.6,88.4,9.2,66.0,22.0,1.2,8.2,5.2,9.743177945393287,2
Mexico,2018,North America,16404.9,3.08,90.2,87.5,39.6,96.2,6.3,40.5,21.5,0.92,2.7,3.8,9.705335349674094,2
Turkey,2018,Europe,12430.69,5.12,100.0,64.5,20.0,70.5,10.6,62.5,15.2,0.92,6.6,5.9,9.427923693824907,1
Argentina,2020,South America,6682.56,4.77,88.1,75.5,32.3,89.0,11.9,52.6,20.0,0.8,12.9,2.3,8.807256426648411,0
Saudi Arabia,2022,Middle East,14337.05,2.0,90.9,92.4,52.2,94.9,9.1,93.0,21.3,1.07,14.9,8.2,9.570602374720133,0
China,2019,East Asia,14476.34,5.27,100.0,81.2,46.7,97.9,14.6,41.3,23.5,1.05,5.8,4.7,9.58027087155896,2
France,2021,Europe,28216.44,2.97,88.0,69.4,8.3,76.5,7.4,61.7,27.2,0.94,9.6,7.5,10.24766006578353,1
South Korea,2022,East Asia,-2763.77,3.67,93.1,78.8,43.6,88.3,7.7,47.3,12.5,1.01,5.9,7.1,,0
Brazil,2024,South America,20575.04,4.0,96.4,72.8,18.3,77.0,5.0,52.1,17.0,0.89,9.5,7.1,9.931833969650306,1
South Africa,2019,Africa,8429.98,5.54,95.0,74.9,47.5,91.7,11.6,59.1,15.1,1.02,5.3,7.3,9.039549678513845,0
Germany,2022,Europe,17302.4,4.58,93.0,85.0,48.9,79.4,7.0,63.6,25.9,0.87,8.4,4.4,9.758600499187686,1
China,2017,East Asia,6864.77,5.9,98.3,73.5,46.8,91.8,6.5,61.7,27.1,1.05,1.0,3.9,8.83415781436333,2
South Africa,2017,Africa,11966.19,3.66,100.0,95.5,31.4,78.8,7.5,75.2,17.0,0.96,3.7,5.1,9.38984045214583,2
Saudi Arabia,2022,Middle East,9346.27,2.0,90.8,82.5,55.2,83.9,9.6,65.7,29.8,0.9,3.2,5.9,9.142732612207515,2
India,2021,South Asia,18153.68,4.45,88.2,83.8,32.9,90.5,12.6,30.7,11.4,1.06,1.0,5.2,9.806628573961953,2
Indonesia,2019,Southeast Asia,10429.63,5.04,91.7,79.9,19.0,72.6,9.5,62.1,21.5,1.15,10.8,6.9,9.252406072773057,1
Egypt,2018,Africa,10475.15,4.89,100.0,78.6,26.7,77.5,11.8,56.3,29.6,0.89,10.8,5.1,9.25676106449688,1
Russia,2015,Europe,18258.13,2.55,85.8,89.8,28.4,94.9,8.2,79.7,17.9,0.88,8.9,7.9,9.81236573926618,2
United States,2020,North America,20123.46,4.28,86.3,64.3,24.5,82.4,11.8,57.7,10.0,0.8,4.9,5.0,9.909641577619697,2
Nigeria,2020,Africa,6845.18,2.32,88.1,79.5,55.0,65.4,8.0,82.2,24.7,0.91,10.5,6.1,8.831300033943638,1
Brazil,2017,South America,20280.41,3.44,96.5,63.3,26.8,82.0,9.8,100.0,32.8,0.96,11.4,3.8,9.917410674463284,1
Turkey,2015,Europe,18194.22,3.47,92.7,100.0,29.2,78.5,7.5,44.6,12.9,1.02,7.6,6.7,9.80885924020733,1
Germany,2020,Europe,14908.59,3.65,91.7,76.6,34.2,78.6,8.9,90.8,29.9,0.98,4.8,5.9,9.609692835882578,1
Australia,2016,Oceania,24087.05,4.43,96.8,68.4,17.5,92.6,9.9,73.1,11.4,1.18,7.8,2.4,10.089429630659167,2
Saudi Arabia,2018,Middle East,22895.26,3.94,95.2,70.2,33.5,84.5,6.2,77.3,20.6,1.04,9.4,6.2,10.038685181218023,1
India,2023,South Asia,17648.75,2.29,90.8,75.9,37.8,89.0,12.3,58.1,21.8,1.01,6.3,5.6,9.778420238323735,2
Egypt,2022,Africa,-2274.28,4.32,93.9,73.5,8.9,84.0,7.7,58.8,14.5,1.0,6.1,4.7,,0
Nigeria,2020,Africa,6314.7,5.06,94.8,80.7,28.8,89.0,9.4,40.0,16.0,1.12,11.7,7.4,8.750635527717906,0
South Korea,2015,East Asia,10334.49,6.64,98.1,78.4,62.6,76.4,11.0,43.7,17.0,1.2,8.5,9.7,9.243242124018735,1
Russia,2019,Europe,19348.65,5.1,91.9,84.8,35.4,85.8,9.0,58.0,20.1,1.01,6.8,2.9,9.870377928582206,2
China,2023,East Asia,19335.54,4.32,78.4,59.1,27.9,97.8,10.7,46.3,19.0,1.11,5.2,3.8,9.869700132278243,2
Saudi Arabia,2016,Middle East,22044.39,6.17,92.0,79.9,34.4,79.1,11.8,46.7,23.8,1.01,6.5,4.9,10.000813426735576,1
Canada,2022,North America,7107.08,4.13,92.4,75.9,17.0,83.5,10.3,46.5,23.7,1.08,3.4,4.5,8.86884674927121,2
Mexico,2016,North America,4276.57,5.13,95.6,59.0,25.2,88.1,9.7,84.2,14.2,1.0,4.0,6.2,8.360906565412536,0
India,2024,South Asia,13551.57,4.91,93.0,82.6,24.3,74.8,10.0,97.1,12.4,0.89,7.7,8.3,9.514257686754437,1
Saudi Arabia,2016,Middle East,17451.48,3.59,97.1,80.2,24.8,93.2,9.4,25.0,19.3,0.94,10.9,3.3,9.767179737787671,0
Russia,2015,Europe,11135.01,4.89,100.0,94.5,34.3,88.5,10.7,39.8,20.1,1.14,7.4,9.9,9.317849477760216,0
Turkey,2016,Europe,11434.89,4.37,94.6,62.0,51.6,81.7,10.0,48.0,28.6,1.12,7.2,3.6,9.344424486821632,1
Brazil,2016,South America,20951.62,6.12,90.4,73.6,36.2,95.9,9.2,79.2,16.1,0.89,12.5,3.4,9.949971249329682,0
South Africa,2020,Africa,-2009.87,5.68,92.3,69.4,32.0,63.4,11.7,63.5,15.9,0.83,2.9,2.8,,1
Brazil,2019,South America,16818.09,4.86,98.1,82.3,44.4,100.0,11.9,79.2,21.2,1.07,5.8,5.6,9.730210371787729,2
Mexico,2023,North America,28771.32,3.66,91.8,71.4,26.8,80.4,10.0,65.5,24.6,1.2,5.9,5.9,10.267134336619261,2
Indonesia,2016,Southeast Asia,296.41,2.56,94.3,79.6,42.4,91.2,12.0,94.1,18.8,0.92,9.0,7.9,5.691743631044445,0
China,2020,East Asia,16086.65,4.23,92.5,74.6,45.4,78.3,7.9,72.0,15.8,1.02,7.3,6.0,9.685745014455673,1
Japan,2017,East Asia,9858.74,7.1,97.0,69.9,40.0,100.0,9.7,90.7,14.3,0.91,1.0,10.0,9.196113650384312,2
India,2018,South Asia,1385.15,4.76,100.0,84.7,40.6,97.8,8.2,70.4,19.4,0.99,7.6,8.4,7.233563716006163,0
Mexico,2021,North America,27532.32,4.1,89.6,66.8,64.2,99.8,7.3,93.2,16.4,1.07,4.9,10.0,10.22311586628959,2
United States,2018,North America,10438.87,2.93,92.7,100.0,38.9,74.7,7.9,25.0,22.7,0.87,10.3,7.6,9.25329161803063,1
Indonesia,2020,Southeast Asia,14199.85,6.35,99.6,76.6,23.5,89.1,10.3,69.8,20.4,1.03,7.9,8.7,9.560986680153277,2
Kenya,2023,Africa,-6192.8,3.0,95.4,67.4,38.2,73.9,7.6,100.0,18.9,0.88,6.7,8.1,,0
Brazil,2016,South America,24644.24,2.31,91.2,77.2,34.5,69.0,6.6,38.6,11.1,0.95,10.6,4.7,10.112298480765826,1
Nigeria,2020,Africa,12658.04,4.54,94.1,58.3,52.5,86.2,6.3,67.6,17.1,1.01,7.7,8.4,9.446047865387138,0
Australia,2020,Oceania,5981.77,5.36,100.0,100.0,50.7,88.6,10.1,91.0,18.6,1.08,13.6,5.8,8.696471789771353,0
Egypt,2017,Africa,-12111.62,3.21,96.5,66.6,29.8,82.0,10.6,41.1,17.1,1.14,5.6,7.5,,0
Turkey,2021,Europe,15111.5,4.47,98.7,56.4,41.7,90.5,11.2,52.5,20.0,0.8,5.0,6.4,9.62321132234494,2
Egypt,2017,Africa,15765.29,7.27,93.3,83.7,32.8,68.8,10.7,96.6,18.1,0.91,7.2,5.8,9.665565966989167,1
Australia,2021,Oceania,35880.33,6.01,95.6,46.0,32.9,100.0,9.7,76.4,22.0,0.95,12.1,6.4,10.487944513454853,2
Australia,2022,Oceania,9345.04,4.53,100.0,60.2,39.1,85.7,6.4,75.3,21.3,1.09,10.4,5.9,9.142601000244333,0
Turkey,2020,Europe,10555.17,2.36,91.8,75.1,20.5,90.8,7.7,24.7,17.1,1.02,3.2,4.2,9.264371066263568,2
United States,2022,North America,9958.62,3.75,96.5,81.4,27.9,74.6,9.8,70.4,28.1,1.11,3.2,5.7,9.206193786762254,1
China,2015,East Asia,18649.29,3.22,93.2,81.7,38.7,85.0,8.2,31.1,18.4,0.99,2.6,6.1,9.833563354642198,2
Turkey,2016,Europe,18136.35,3.46,97.0,77.8,30.4,80.8,8.8,42.9,21.7,0.92,4.7,7.0,9.805673490633703,2
Germany,2020,Europe,13063.43,4.59,86.4,69.8,60.2,67.2,13.0,65.2,17.3,0.98,10.7,1.4,9.477572002345088,1
Japan,2021,East Asia,26323.43,4.9,100.0,57.5,31.6,61.7,11.9,40.3,15.0,0.81,8.3,6.1,10.178214696097386,1
Brazil,2021,South America,9017.04,4.89,91.1,57.4,29.5,100.0,11.4,69.1,21.2,0.96,9.2,7.1,9.106871399555278,0
Canada,2021,North America,14335.09,4.8,87.0,70.2,17.1,72.9,10.4,34.7,23.8,1.1,6.8,4.8,9.57046565663749,1
Canada,2017,North America,23248.19,5.33,100.0,64.2,31.1,82.8,9.9,72.5,20.7,1.13,5.9,3.9,10.05398255852271,2
Argentina,2015,South America,9674.65,3.31,92.7,72.3,31.6,87.3,8.6,81.0,10.3,0.8,10.0,7.8,9.177264341533032,0
Turkey,2019,Europe,24912.19,5.46,95.0,72.4,11.0,86.5,6.6,100.0,14.8,0.99,11.5,5.3,10.123112520891194,1
Australia,2021,Oceania,12125.75,2.0,88.5,80.6,60.1,76.1,9.9,100.0,22.8,1.1,4.7,9.1,9.403086569562804,1
Russia,2019,Europe,9461.51,3.2,100.0,68.6,34.9,100.0,7.7,55.3,16.9,0.97,7.1,8.7,9.154987268758411,0
Japan,2020,East Asia,28138.33,4.73,91.4,81.8,35.1,85.4,7.4,27.7,19.9,0.89,5.4,9.0,10.244887982780819,2
United States,2019,North America,14438.74,6.16,96.5,80.8,26.7,96.5,10.1,54.7,21.6,0.93,6.1,5.9,9.577670151021922,2
Turkey,2024,Europe,10794.49,6.84,92.9,95.8,36.0,82.7,8.5,68.4,24.5,0.8,7.0,2.0,9.286791097738382,1
China,2021,East Asia,22854.61,6.0,95.2,77.1,13.6,79.5,8.3,51.0,24.4,1.13,8.8,5.4,10.036908126520492,1
Mexico,2018,North America,9030.69,4.64,96.5,72.8,25.1,91.2,10.9,33.8,18.1,1.08,10.0,6.1,9.10838405545192,0
Russia,2024,Europe,17922.67,4.88,99.8,63.9,39.0,76.1,11.7,38.8,22.0,0.91,9.3,6.9,9.793821670965903,1
Saudi Arabia,2022,Middle East,16917.31,7.44,91.5,84.3,52.6,94.3,8.1,55.3,17.0,0.97,4.5,5.3,9.736092637069468,2
South Korea,2021,East Asia,26741.02,4.02,95.5,67.7,34.8,93.3,10.5,88.4,14.0,0.92,5.8,9.0,10.1939539950294,2
South Africa,2019,Africa,6390.28,2.37,100.0,76.1,48.4,100.0,7.5,91.7,19.6,0.96,7.5,3.6,8.762533364877934,0
Germany,2015,Europe,14840.57,4.14,90.3,68.5,52.1,83.2,7.5,69.0,23.8,1.0,3.3,0.9,9.60511992568724,2
Russia,2020,Europe,7793.25,6.08,99.8,67.0,31.5,92.0,9.2,78.7,19.5,1.05,6.0,4.4,8.961013253400866,0
France,2017,Europe,24325.58,2.25,92.0,74.1,47.9,76.2,9.8,32.3,22.2,1.18,1.1,4.5,10.099283750552065,2
Turkey,2023,Europe,21695.49,8.0,97.9,67.7,32.8,72.7,11.1,80.9,27.0,0.97,4.6,9.0,9.984859683826668,1
Kenya,2018,Africa,15046.58,3.02,93.1,82.9,31.2,85.3,6.6,37.6,19.5,0.93,3.6,5.4,9.61890600182861,2
Germany,2023,Europe,7979.66,4.54,100.0,72.0,28.6,95.7,11.0,76.0,10.0,0.96,5.3,4.3,8.98465108301988,0
Russia,2019,Europe,23428.72,3.68,88.0,77.5,34.9,75.8,11.5,70.6,22.6,1.05,10.3,5.7,10.06171789919433,1
Turkey,2020,Europe,5067.55,4.19,86.7,64.4,59.3,74.0,7.2,73.4,24.3,0.83,7.7,4.9,8.530612745075702,1
Brazil,2015,South America,17644.62,4.05,88.2,70.2,44.4,100.0,10.3,52.2,14.1,0.98,5.9,6.6,9.778186200031621,2
United States,2023,North America,14523.0,5.22,93.2,92.1,43.8,77.9,11.5,36.9,15.7,0.92,11.0,5.6,9.583488878607804,1
Argentina,2019,South America,9970.51,4.75,97.7,90.9,12.5,97.6,5.4,78.1,25.8,1.12,8.7,3.9,9.207387015107972,0
